Date,Clicks,Impressions,CTR,Position
2025-02-24,337,2770,12.17%,15.91
2025-02-23,55,1303,4.22%,27.72
2025-02-22,38,1290,2.95%,31.57
2025-02-21,239,2182,10.95%,17.12
2025-02-20,298,2489,11.97%,16.14
2025-02-19,315,2548,12.36%,15.06
2025-02-18,344,2609,13.19%,13.64
2025-02-17,289,2419,11.95%,13.7
2025-02-16,42,1065,3.94%,26.2
2025-02-15,28,1016,2.76%,25.91
2025-02-14,220,2035,10.81%,14.86
2025-02-13,322,2456,13.11%,13.21
2025-02-12,294,2575,11.42%,13.3
2025-02-11,333,2556,13.03%,13.49
2025-02-10,280,2525,11.09%,14.18
2025-02-09,49,1102,4.45%,25.02
2025-02-08,27,1034,2.61%,28
2025-02-07,260,2236,11.63%,14.43
2025-02-06,287,2551,11.25%,12.83
2025-02-05,314,2627,11.95%,12.69
2025-02-04,327,2575,12.7%,13.29
2025-02-03,270,2302,11.73%,13.51
2025-02-02,40,1084,3.69%,25.79
2025-02-01,24,1070,2.24%,28.12
2025-01-31,219,1855,11.81%,14.61
2025-01-30,323,2210,14.62%,12.74
2025-01-29,324,2335,13.88%,11.97
2025-01-28,302,2203,13.71%,12.42
2025-01-27,253,2238,11.3%,11.7
2025-01-26,36,1017,3.54%,21.03
2025-01-25,25,936,2.67%,22.16
2025-01-24,218,2247,9.7%,21.56
2025-01-23,263,2688,9.78%,22.14
2025-01-22,357,2355,15.16%,11.14
2025-01-21,308,2787,11.05%,20.39
2025-01-20,277,2767,10.01%,21.47
2025-01-19,42,1095,3.84%,29.29
2025-01-18,27,961,2.81%,24.68
2025-01-17,213,1843,11.56%,13.31
2025-01-16,282,2131,13.23%,11.24
2025-01-15,327,2307,14.17%,12.39
2025-01-14,280,2373,11.8%,13.61
2025-01-13,256,2427,10.55%,14.63
2025-01-12,30,1046,2.87%,30.63
2025-01-11,30,1075,2.79%,29.47
2025-01-10,189,1961,9.64%,16.28
2025-01-09,269,2395,11.23%,15.83
2025-01-08,257,2483,10.35%,19.74
2025-01-07,282,2492,11.32%,18.67
2025-01-06,174,2639,6.59%,23.85
2025-01-05,23,1288,1.79%,38.49
2025-01-04,13,1190,1.09%,39.12
